Es una gran cámara. El menú es un poco complicado pero vale la pena totalmente, lo único que no me gusto es que se calienta relativamente rápido.
La cámara es muy buena el lente no tanto, además de ser oscuro no responde tan rápido el enfoco
Lo que más me gustó es es es pequeña y ligera. Por lo demás, todavía estoy leyendo el manual que consta de 600 y pico de páginas. Y podría ser que para entonces pudiera dar una opinión más calificada.
De mis mejores compras, es un producto excelente. Es cierto que los menús pueden ser algo confusos pero te permite ajustes bastante personalizados, la imagen es magnífica, el autofoco excelente para video. Me encanta.
El paquete llegó en perfecto estado y a tiempo, la he comprado en el cyber monday a un excelente precio.
Que puedo decir, su fama presede a esta cámara y es todo lo que dicen, definitivamente una exelente calidad en video 4K, lo único malo es que solo graba 4K 30fps , pero es exelente su calidad , la compré en el prime day a un exelente precio
Me encanto la calidad que tiene, es muy pequeña y ofrece muchísimo, el video graba increíble, las fotos a una calidad super hermosa, el enfoque esta muy bueno, sin duda una excelente cámara, me pase de canon a sony, anteriormente tenía la 5D mk iii, y la Sony a7iii es mucho mejor
Excelente cámara, buenas prestaciones y excelente calidad en los materiales
Muy feliz, el lente de kit sí ayuda a iniciar pero es mejor comprar otro lente (al menos uno primo) para sacarle jugo.
He usado este producto de momento para hacer retratos, hacer comerciales y próximamente estaré viajando por 6 meses así que estoy emocionado de probar todas las ventajas de esta cámara. Es mi primera mirrorless y creo que promete mucho.
Aún en 2021 es una gran cámara, la calidad es excepcional tanto en foto como en video, después de mucho investigar decidió comprarla y llegó a tiempo, la recomiendo ampliamente.
Estaba acostumbrado a trabajar con nikon, pero después de mucho investigar, esta cámara cumple y supera prácticamente todas las exigencias que tenía sobre un equipo versátil entre fotografía y vídeo.
súper buena y compacta <3
Que mal que no trae cargador de batería hacia la corriente y tengas que cargar por medio de la cámara.
Genial para foto y video. Aunque ya hay nuevos modelos, por el precio aún vale mucho la pena. :)
Todas mis cámaras son Sony y esta me encantó
Excelente cámara en imagen de fotos y video, me gustaría que tuviera mas acciones de control en la pantalla táctil
Excelente cámara
Excelente producto, me parece demasiado buena para un principiante
Buena cámara pero se tardo más de lo prometido y era un artículo que necesitaba en mi negocio pero en fin, excelente producto. Pero mal servicio de entrega de Amazon
Agarre una promo con el lente en 42k y me pareció excelente opción
hace dias te hice la devolucion del producto que me enviaste ya que no fue lo que pedi
Me encanto. aproveche una oferta relampago real y no dude en comprarla. excelente camara
Buen precio cuando hay promos, de las mejores cámaras de Sony
Todo en orden llego sellada de fábrica y sin ningún problema
La mejor camara que pude haber comprado, la relacion precio calidad esta en todo, estoy muy contento por mi compra
para mi la mejor camara
La cámara mas potente que e tenido
cumple su proposito
Justo lo que buscaba, caro pero vale la pena.
La mejor cámara, equilibrada tanto para video como para fotografía.
Gran cámara, los menús un poco complicados, pero después de un par de semanas te acostumbras.
Buen producto, cumple expectativas
Buena calidad, una cámara que vale la pena tanto para fotos como para vídeo
Calidad de video excelente, gran calidad de foto.
No es una cama.... sin palabras
Excelente camara, excelente precio, llego antes y llego bien.
Increíble mejor de lo que esperaba
